material,Df,B_T,Jd_Aperm2,Jpin_Aperm2,Jc_Aperm2
YBCO,1.2,0.0,8380909701911.144,0.0,8380909701911.144
YBCO,1.2,0.30071399791278075,8380909701911.144,751535050174.3914,751535050174.3914
YBCO,1.2,0.6014279958255615,8380909701911.144,1009025674846.78,1009025674846.78
YBCO,1.2,0.9021419937383421,8380909701911.144,1171612783163.3945,1171612783163.3945
YBCO,1.2,1.202855991651123,8380909701911.144,1280722452368.1938,1280722452368.1938
YBCO,1.2,1.5035699895639036,8380909701911.144,1353446573364.8762,1353446573364.8762
YBCO,1.2,1.8042839874766843,8380909701911.144,1399115233817.4292,1399115233817.4292
YBCO,1.2,2.104997985389465,8380909701911.144,1423629326399.388,1423629326399.388
YBCO,1.2,2.405711983302246,8380909701911.144,1431083505599.8655,1431083505599.8655
YBCO,1.2,2.7064259812150264,8380909701911.144,1424507264728.9746,1424507264728.9746
YBCO,1.2,3.0071399791278073,8380909701911.144,1406250000000.0,1406250000000.0
YBCO,1.2,3.307853977040588,8380909701911.144,1378200377048.5898,1378200377048.5898
YBCO,1.2,3.6085679749533686,8380909701911.144,1341920265887.6567,1341920265887.6567
YBCO,1.2,3.9092819728661494,8380909701911.144,1298731070151.987,1298731070151.987
YBCO,1.2,4.20999597077893,8380909701911.144,1249771854179.7935,1249771854179.7935
YBCO,1.2,4.510709968691711,8380909701911.144,1196039913468.3484,1196039913468.3484
YBCO,1.2,4.811423966604492,8380909701911.144,1138419957660.6165,1138419957660.6165
YBCO,1.2,5.112137964517272,8380909701911.144,1077705647610.0626,1077705647610.0626
YBCO,1.2,5.412851962430053,8380909701911.144,1014615844790.5298,1014615844790.5298
YBCO,1.2,5.713565960342834,8380909701911.144,949807109323.7168,949807109323.7168
YBCO,1.2,6.014279958255615,8380909701911.144,883883476483.1844,883883476483.1844
YBCO,1.2,6.314993956168395,8380909701911.144,817404219589.748,817404219589.748
YBCO,1.2,6.615707954081176,8380909701911.144,750890096818.4358,750890096818.4358
YBCO,1.2,6.916421951993956,8380909701911.144,684828438540.9058,684828438540.9058
YBCO,1.2,7.217135949906737,8380909701911.144,619677335393.1869,619677335393.1869
YBCO,1.2,7.517849947819518,8380909701911.144,555869119951.473,555869119951.473
YBCO,1.2,7.818563945732299,8380909701911.144,493813287083.28613,493813287083.28613
YBCO,1.2,8.11927794364508,8380909701911.144,433898963523.62366,433898963523.62366
YBCO,1.2,8.41999194155786,8380909701911.144,376497011940.3338,376497011940.3338
YBCO,1.2,8.72070593947064,8380909701911.144,321961835980.7961,321961835980.7961
YBCO,1.2,9.021419937383422,8380909701911.144,270632938682.63705,270632938682.63705
YBCO,1.2,9.322133935296202,8380909701911.144,222836275905.37177,222836275905.37177
YBCO,1.2,9.622847933208984,8380909701911.144,178885438199.98306,178885438199.98306
YBCO,1.2,9.923561931121764,8380909701911.144,139082688141.3536,139082688141.3536
YBCO,1.2,10.224275929034544,8380909701911.144,103719875144.545,103719875144.545
YBCO,1.2,10.524989926947326,8380909701911.144,73079245835.42854,73079245835.42854
YBCO,1.2,10.825703924860106,8380909701911.144,47434164902.525764,47434164902.525764
YBCO,1.2,11.126417922772887,8380909701911.144,27049758836.725296,27049758836.725296
YBCO,1.2,11.427131920685667,8380909701911.144,12183492931.011225,12183492931.011225
YBCO,1.2,11.727845918598447,8380909701911.144,3085690259.08308,3085690259.08308
YBCO,1.2,12.02855991651123,8380909701911.144,0.0,8380909701911.144
MgB2,1.2,0.0,4492678559474.975,0.0,4492678559474.975
MgB2,1.2,0.06705679772940097,4492678559474.975,751535050174.3914,751535050174.3914
MgB2,1.2,0.13411359545880194,4492678559474.975,1009025674846.78,1009025674846.78
MgB2,1.2,0.20117039318820287,4492678559474.975,1171612783163.3945,1171612783163.3945
MgB2,1.2,0.2682271909176039,4492678559474.975,1280722452368.1938,1280722452368.1938
MgB2,1.2,0.3352839886470048,4492678559474.975,1353446573364.8762,1353446573364.8762
MgB2,1.2,0.40234078637640575,4492678559474.975,1399115233817.4292,1399115233817.4292
MgB2,1.2,0.46939758410580673,4492678559474.975,1423629326399.388,1423629326399.388
MgB2,1.2,0.5364543818352078,4492678559474.975,1431083505599.8655,1431083505599.8655
MgB2,1.2,0.6035111795646086,4492678559474.975,1424507264728.9746,1424507264728.9746
MgB2,1.2,0.6705679772940096,4492678559474.975,1406250000000.0,1406250000000.0
MgB2,1.2,0.7376247750234106,4492678559474.975,1378200377048.5898,1378200377048.5898
MgB2,1.2,0.8046815727528115,4492678559474.975,1341920265887.6567,1341920265887.6567
MgB2,1.2,0.8717383704822126,4492678559474.975,1298731070151.987,1298731070151.987
MgB2,1.2,0.9387951682116135,4492678559474.975,1249771854179.794,1249771854179.794
MgB2,1.2,1.0058519659410146,4492678559474.975,1196039913468.3489,1196039913468.3489
MgB2,1.2,1.0729087636704155,4492678559474.975,1138419957660.6165,1138419957660.6165
MgB2,1.2,1.1399655613998163,4492678559474.975,1077705647610.0626,1077705647610.0626
MgB2,1.2,1.2070223591292173,4492678559474.975,1014615844790.5298,1014615844790.5298
MgB2,1.2,1.2740791568586183,4492678559474.975,949807109323.7168,949807109323.7168
MgB2,1.2,1.3411359545880193,4492678559474.975,883883476483.1844,883883476483.1844
MgB2,1.2,1.4081927523174202,4492678559474.975,817404219589.748,817404219589.748
MgB2,1.2,1.4752495500468212,4492678559474.975,750890096818.4358,750890096818.4358
MgB2,1.2,1.542306347776222,4492678559474.975,684828438540.9058,684828438540.9058
MgB2,1.2,1.609363145505623,4492678559474.975,619677335393.1869,619677335393.1869
MgB2,1.2,1.676419943235024,4492678559474.975,555869119951.473,555869119951.473
MgB2,1.2,1.7434767409644252,4492678559474.975,493813287083.28613,493813287083.28613
MgB2,1.2,1.8105335386938262,4492678559474.975,433898963523.62366,433898963523.62366
MgB2,1.2,1.877590336423227,4492678559474.975,376497011940.3341,376497011940.3341
MgB2,1.2,1.944647134152628,4492678559474.975,321961835980.7961,321961835980.7961
MgB2,1.2,2.011703931882029,4492678559474.975,270632938682.63684,270632938682.63684
MgB2,1.2,2.07876072961143,4492678559474.975,222836275905.37177,222836275905.37177
MgB2,1.2,2.145817527340831,4492678559474.975,178885438199.98306,178885438199.98306
MgB2,1.2,2.212874325070232,4492678559474.975,139082688141.35342,139082688141.35342
MgB2,1.2,2.2799311227996326,4492678559474.975,103719875144.545,103719875144.545
MgB2,1.2,2.346987920529034,4492678559474.975,73079245835.42854,73079245835.42854
MgB2,1.2,2.4140447182584346,4492678559474.975,47434164902.52566,47434164902.52566
MgB2,1.2,2.481101515987836,4492678559474.975,27049758836.725296,27049758836.725296
MgB2,1.2,2.5481583137172366,4492678559474.975,12183492931.011225,12183492931.011225
MgB2,1.2,2.6152151114466373,4492678559474.975,3085690259.08308,3085690259.08308
MgB2,1.2,2.6822719091760385,4492678559474.975,0.0,4492678559474.975
H3S,1.2,0.0,570315605825437.4,0.0,570315605825437.4
H3S,1.2,2.293986272479065,570315605825437.4,751535050174.3914,751535050174.3914
H3S,1.2,4.58797254495813,570315605825437.4,1009025674846.78,1009025674846.78
H3S,1.2,6.8819588174371935,570315605825437.4,1171612783163.3945,1171612783163.3945
H3S,1.2,9.17594508991626,570315605825437.4,1280722452368.1938,1280722452368.1938
H3S,1.2,11.469931362395323,570315605825437.4,1353446573364.8762,1353446573364.8762
H3S,1.2,13.763917634874387,570315605825437.4,1399115233817.4292,1399115233817.4292
H3S,1.2,16.057903907353452,570315605825437.4,1423629326399.388,1423629326399.388
H3S,1.2,18.35189017983252,570315605825437.4,1431083505599.8655,1431083505599.8655
H3S,1.2,20.645876452311583,570315605825437.4,1424507264728.9746,1424507264728.9746
H3S,1.2,22.939862724790647,570315605825437.4,1406250000000.0,1406250000000.0
H3S,1.2,25.233848997269714,570315605825437.4,1378200377048.5898,1378200377048.5898
H3S,1.2,27.527835269748774,570315605825437.4,1341920265887.6567,1341920265887.6567
H3S,1.2,29.82182154222784,570315605825437.4,1298731070151.987,1298731070151.987
H3S,1.2,32.115807814706905,570315605825437.4,1249771854179.794,1249771854179.794
H3S,1.2,34.40979408718597,570315605825437.4,1196039913468.3484,1196039913468.3484
H3S,1.2,36.70378035966504,570315605825437.4,1138419957660.6165,1138419957660.6165
H3S,1.2,38.9977666321441,570315605825437.4,1077705647610.0626,1077705647610.0626
H3S,1.2,41.291752904623166,570315605825437.4,1014615844790.5298,1014615844790.5298
H3S,1.2,43.58573917710223,570315605825437.4,949807109323.7168,949807109323.7168
H3S,1.2,45.879725449581294,570315605825437.4,883883476483.1844,883883476483.1844
H3S,1.2,48.17371172206036,570315605825437.4,817404219589.748,817404219589.748
H3S,1.2,50.46769799453943,570315605825437.4,750890096818.4358,750890096818.4358
H3S,1.2,52.76168426701848,570315605825437.4,684828438540.9058,684828438540.9058
H3S,1.2,55.05567053949755,570315605825437.4,619677335393.1869,619677335393.1869
H3S,1.2,57.349656811976615,570315605825437.4,555869119951.473,555869119951.473
H3S,1.2,59.64364308445568,570315605825437.4,493813287083.28613,493813287083.28613
H3S,1.2,61.93762935693475,570315605825437.4,433898963523.62366,433898963523.62366
H3S,1.2,64.23161562941381,570315605825437.4,376497011940.3341,376497011940.3341
H3S,1.2,66.52560190189287,570315605825437.4,321961835980.7961,321961835980.7961
H3S,1.2,68.81958817437194,570315605825437.4,270632938682.63705,270632938682.63705
H3S,1.2,71.113574446851,570315605825437.4,222836275905.37177,222836275905.37177
H3S,1.2,73.40756071933008,570315605825437.4,178885438199.98306,178885438199.98306
H3S,1.2,75.70154699180912,570315605825437.4,139082688141.35373,139082688141.35373
H3S,1.2,77.9955332642882,570315605825437.4,103719875144.545,103719875144.545
H3S,1.2,80.28951953676726,570315605825437.4,73079245835.42868,73079245835.42868
H3S,1.2,82.58350580924633,570315605825437.4,47434164902.52566,47434164902.52566
H3S,1.2,84.87749208172539,570315605825437.4,27049758836.725296,27049758836.725296
H3S,1.2,87.17147835420445,570315605825437.4,12183492931.011225,12183492931.011225
H3S,1.2,89.46546462668353,570315605825437.4,3085690259.083025,3085690259.083025
H3S,1.2,91.75945089916259,570315605825437.4,0.0,570315605825437.4
